term,estimate,std.error,statistic,p.value,data,time_secs,estimator,n,n_clus,seed
x,-0.26593570581965714,0.5958093013418975,-0.4463436626798368,0.6553490211760964,raw data,NA,GLM,100,5,3
x,-0.2659357058196573,0.5958093128093283,-0.44634365408914384,0.6553490273806083,aggregated data,NA,GLM,100,5,3
(Intercept),-0.880857342956846,0.4416863398759572,3.9772530372546897,0.04611871662241118,raw data,0.00802206993103027,GEE,100,5,4
x,0.5892433104997783,0.4922318781631928,1.4330120722596182,0.2312734950757108,raw data,0.00802206993103027,GEE,100,5,4
(Intercept),-0.8469079089634779,0.44413931717654576,3.636084238435412,0.05653976598157873,aggregated data,0.00451612472534179,GEE,100,5,4
x,0.5224501856445971,0.51772064796531,1.01835407025053,0.31290974668609706,aggregated data,0.00451612472534179,GEE,100,5,4
x,0.7750551892703332,0.4560132884330508,1.699632903097126,0.08919999731597664,raw data,NA,GLM,100,5,4
x,0.7750551892705646,0.4560133495067159,1.6996326754665545,0.08920004015960133,aggregated data,NA,GLM,100,5,4
(Intercept),-0.777555359338497,0.5569991997278998,1.9487381881680368,0.16272288787578737,raw data,0.0087740421295166,GEE,100,5,5
x,-0.7987499190226183,0.4287289822701925,3.4710108263252004,0.06245313563494226,raw data,0.0087740421295166,GEE,100,5,5
(Intercept),-0.9009220369575236,0.605984180752012,2.2103031677376475,0.1370917275591712,aggregated data,0.0046999454498291,GEE,100,5,5
x,-0.8146431851347798,0.4728204266910664,2.9685365219141855,0.0848986264634598,aggregated data,0.0046999454498291,GEE,100,5,5
x,-0.9913329963846208,0.5447253248161543,-1.8198768282330129,0.06877776439746842,raw data,NA,GLM,100,5,5
x,-0.9913329964842948,0.5447275755295546,-1.819869309022174,0.06877890973667705,aggregated data,NA,GLM,100,5,5
(Intercept),-1.1813762894770663,0.1888753452876268,39.12244222184954,3.980421547922219e-10,raw data,0.00945997238159179,GEE,100,5,6
x,0.7569023258677557,0.1500530915765081,25.444257620393408,4.553509976856774e-7,raw data,0.00945997238159179,GEE,100,5,6
(Intercept),-1.0865520255733467,0.2141277341106076,25.748694163662712,3.8889005271602883e-7,aggregated data,0.00526690483093261,GEE,100,5,6
x,0.7136923006191693,0.11294952103080354,39.92576405409336,2.638005369703933e-10,aggregated data,0.00526690483093261,GEE,100,5,6
x,0.71956914180618,0.46409087372070745,1.550491902668228,0.12102349551159863,raw data,NA,GLM,100,5,6
x,0.7195691418063866,0.46409094861419103,1.5504916524553471,0.12102355552142674,aggregated data,NA,GLM,100,5,6
(Intercept),-1.3154006631024155,0.5847346491412798,5.060558555728479,0.02447634824165012,raw data,0.01022911071777343,GEE,100,5,7
x,-0.23182294598041295,0.32294293679007546,0.5153013263058156,0.47285291391990425,raw data,0.01022911071777343,GEE,100,5,7
(Intercept),-1.413872534874727,0.5530548835571695,6.535578768511206,0.01057378162972322,aggregated data,0.00473308563232421,GEE,100,5,7
x,0.07227509098230951,0.3350598626002075,0.04652993886980372,0.8292153692505803,aggregated data,0.00473308563232421,GEE,100,5,7
